epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5953.15,0.9956,0.75903,1.05225,0.61993,0.4807,0.5065,0.31897,1.31523,1.2345,1.29743,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6134.75,0.98943,0.75267,1.04744,0.61978,0.48029,0.50045,0.31981,1.32349,1.24063,1.299,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6316.55,0.98419,0.74647,1.0448,0.62334,0.50505,0.51528,0.33058,1.30563,1.22311,1.28853,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6498.49,0.97784,0.74112,1.04254,0.59725,0.50392,0.51188,0.33039,1.3133,1.22285,1.29582,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6680.39,0.96922,0.72848,1.03503,0.59514,0.51533,0.51819,0.33778,1.3064,1.22493,1.29683,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6862.27,0.9647,0.7239,1.03597,0.62454,0.49629,0.5217,0.33512,1.30101,1.21341,1.28548,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7043.9,0.95991,0.71642,1.03358,0.63797,0.4933,0.51201,0.33197,1.29681,1.21773,1.28275,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7225.62,0.954,0.71018,1.02757,0.64418,0.49023,0.5205,0.33496,1.30404,1.20898,1.29039,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7407.23,0.94469,0.70155,1.02567,0.63351,0.4994,0.52385,0.34029,1.29567,1.21533,1.28943,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7617.66,0.93807,0.69501,1.02154,0.64428,0.49915,0.51646,0.33048,1.3125,1.22224,1.29479,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7799.44,0.92939,0.68973,1.0156,0.6419,0.49378,0.52118,0.33578,1.29816,1.22379,1.29585,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7980.94,0.93102,0.68661,1.01581,0.60771,0.50863,0.52069,0.3388,1.29623,1.19727,1.29341,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8162.81,0.92422,0.68028,1.01393,0.64079,0.48782,0.52108,0.3378,1.29648,1.19229,1.28577,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8344.34,0.91505,0.67126,1.01038,0.62794,0.51252,0.52699,0.34091,1.30303,1.20461,1.29063,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8525.85,0.90891,0.6644,1.00707,0.66746,0.49661,0.5205,0.33224,1.30122,1.20532,1.2937,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
